class,mutant,result,index
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,7
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,8
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,EXCEPTION,9
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,0
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,1
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,2
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,3
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,4
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,5
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,6
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,7
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,8
MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED_1,ORIGINAL,EXCEPTION,9
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,0,0
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,7,1
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,13,2
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,21,3
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,30,4
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,12,5
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,13,6
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,38,7
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,3,8
SEARCH_INSERT_AND_DELETE_IN_A_SORTED_ARRAY_1,ORIGINAL,24,9
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,0
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,1
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,2
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,3
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,4
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,5
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,6
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,7
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,8
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,EXCEPTION,9
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,0
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,1
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,2
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,3
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,4
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,5
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,6
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,7
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,8
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS_1,ORIGINAL,EXCEPTION,9
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,94,0
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,92,1
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,1,2
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,92,3
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,86,4
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,1,5
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,97,6
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,86,7
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,1,8
FIND_THE_MAXIMUM_ELEMENT_IN_AN_ARRAY_WHICH_IS_FIRST_INCREASING_AND_THEN_DECREASING,ORIGINAL,99,9
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,25,0
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,3,1
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,1,2
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,35,3
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,6,4
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,5,5
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,20,6
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,4,7
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,9,8
HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,ORIGINAL,45,9
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,0
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,1
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,2
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,3
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,4
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,5
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,6
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,7
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,8
MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS,ORIGINAL,EXCEPTION,9
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,0
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,1
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,2
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,3
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,4
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,5
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,6
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,7
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,8
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,ORIGINAL,EXCEPTION,9
FIND_PERIMETER_CYLINDER,ORIGINAL,296,0
FIND_PERIMETER_CYLINDER,ORIGINAL,286,1
FIND_PERIMETER_CYLINDER,ORIGINAL,150,2
FIND_PERIMETER_CYLINDER,ORIGINAL,234,3
FIND_PERIMETER_CYLINDER,ORIGINAL,332,4
FIND_PERIMETER_CYLINDER,ORIGINAL,170,5
FIND_PERIMETER_CYLINDER,ORIGINAL,336,6
FIND_PERIMETER_CYLINDER,ORIGINAL,212,7
FIND_PERIMETER_CYLINDER,ORIGINAL,142,8
FIND_PERIMETER_CYLINDER,ORIGINAL,204,9
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,0
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,1
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,2
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,3
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,4
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,5
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,6
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,7
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,8
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,ORIGINAL,EXCEPTION,9
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,0
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,1
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,2
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,3
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,4
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,5
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,6
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,7
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,8
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,ORIGINAL,EXCEPTION,9
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,0
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,1
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,2
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,3
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,4
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,5
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,6
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,7
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,8
CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,ORIGINAL,EXCEPTION,9
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,0
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,1
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,2
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,3
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,4
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,5
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,6
MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,ORIGINAL,EXCEPTION,7
