class,mutant,test_index,result_java,result_python,equal_results
TRIANGULAR_NUMBERS,ORIGINAL,2,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,3,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,4,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,5,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,6,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,7,false,False,True
TRIANGULAR_NUMBERS,ORIGINAL,8,true,True,True
TRIANGULAR_NUMBERS,ORIGINAL,9,false,False,True
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,0,3.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,1,1.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,2,9.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,3,0.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,4,1.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,5,2.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,6,1.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,7,0.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,8,24.0,NA,False
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,9,1.0,NA,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,0,true,True,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,1,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,2,true,True,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,3,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,4,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,5,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,6,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,7,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,8,false,False,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,9,false,False,True
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,0,0.0,9.412836491366608e+152,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1,1544033003.0,4.1712087993322066e+173,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,2,0.0,1.853020188851841e+47,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,3,1.0,1.0,True
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,4,0.0,4.10054125502848e+114,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,5,1.0,1.0,True
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,6,1147367593.0,6.961986091308856e+65,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,7,0.0,1e+52,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,8,0.0,5.874720686237219e+53,False
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,9,1480197697.0,9.81385940506319e+116,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,0,14.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,1,1.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,2,12.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,3,13.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,4,2.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,5,3.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,6,5.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,7,1.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,8,2.0,NA,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,9,2.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,0,10010.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,1,1011100.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,2,1010111.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,3,110010.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,4,111000.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,5,1011000.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,6,11.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,7,10000.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,8,101101.0,NA,False
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,9,111010.0,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,0,true,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,1,true,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,2,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,3,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,4,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,5,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,6,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,7,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,8,false,NA,False
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,9,false,NA,False
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,0,790244.0,790244.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,1,540274.0,540274.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,2,1004731.0,1004731.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,3,52394.0,52394.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,4,62196.0,62196.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,5,29260.0,29260.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,6,457310.0,457310.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,7,455.0,455.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,8,18424.0,18424.0,True
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,9,138415.0,138415.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0,1.0,1.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,1,1.0,1.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,2,1.0,1.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,3,0.0,0.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,4,0.0,0.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,5,1.0,1.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,6,0.0,0.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,7,0.0,0.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,8,0.0,0.0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,9,0.0,0.0,True
DYCK_PATH,ORIGINAL,0,-403225.0,2.02768903897094e+40,False
DYCK_PATH,ORIGINAL,1,-258695.0,1.0001346008003548e+51,False
DYCK_PATH,ORIGINAL,2,560185.0,6.182127958584856e+33,False
DYCK_PATH,ORIGINAL,3,2511391.0,263747951750360.0,False
DYCK_PATH,ORIGINAL,4,428963.0,1.3214221084202823e+39,False
DYCK_PATH,ORIGINAL,5,742900.0,742900.0,True
DYCK_PATH,ORIGINAL,6,429.0,429.0,True
DYCK_PATH,ORIGINAL,7,-220516.0,5.774335806960135e+55,False
DYCK_PATH,ORIGINAL,8,-213960.0,2.2750883079422937e+56,False
DYCK_PATH,ORIGINAL,9,467294.0,2.2033725021956517e+37,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,0,2.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,1,1.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,2,2.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,3,1.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,4,1.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,5,12.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,6,3.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,7,1.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,8,2.0,NA,False
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,9,2.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,0,4.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,1,4.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,2,4.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,3,4.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,4,4.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,5,3.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,6,3.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,7,4.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,8,3.0,NA,False
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,9,4.0,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,0,true,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,1,true,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,2,true,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,3,false,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,4,false,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,5,false,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,6,false,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,7,false,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,8,true,NA,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,9,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,0,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,1,true,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,2,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,3,true,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,4,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,5,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,6,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,7,true,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,8,false,NA,False
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,9,false,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,0,283.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,1,66.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,2,2.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,3,236.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,4,-4.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,5,2.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,6,168.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,7,166.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,8,3.0,NA,False
MAXIMUM_TRIPLET_SUM_ARRAY_1,ORIGINAL,9,64.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,0,41.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,1,87.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,2,7.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,3,87.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,4,57.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,5,19.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,6,63.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,7,17.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,8,41.0,NA,False
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM,ORIGINAL,9,5.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,0,2.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,1,3.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,2,0.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,3,0.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,4,7.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,5,1.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,6,3.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,7,1.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,8,1.0,NA,False
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,9,2.0,NA,False
NEXT_POWER_OF_2_1,ORIGINAL,0,8.0,8.0,True
NEXT_POWER_OF_2_1,ORIGINAL,1,128.0,128.0,True
NEXT_POWER_OF_2_1,ORIGINAL,2,32.0,32.0,True
NEXT_POWER_OF_2_1,ORIGINAL,3,64.0,64.0,True
NEXT_POWER_OF_2_1,ORIGINAL,4,32.0,32.0,True
NEXT_POWER_OF_2_1,ORIGINAL,5,2.0,2.0,True
NEXT_POWER_OF_2_1,ORIGINAL,6,8.0,8.0,True
NEXT_POWER_OF_2_1,ORIGINAL,7,128.0,128.0,True
NEXT_POWER_OF_2_1,ORIGINAL,8,32.0,32.0,True
NEXT_POWER_OF_2_1,ORIGINAL,9,8.0,8.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,0,47905.0,47905.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,1,30856.0,30856.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,2,47905.0,47905.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,3,34220.0,34220.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,4,4.0,4.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,5,147440.0,147440.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,6,84.0,84.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,7,560.0,560.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,8,91881.0,91881.0,True
NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,ORIGINAL,9,105995.0,105995.0,True
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,0,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,1,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,2,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,3,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,4,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,5,7.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,6,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,7,0.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,8,2.0,NA,False
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,ORIGINAL,9,0.0,NA,False
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,0,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,1,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,2,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,3,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,4,484.0,484.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,5,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,6,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,7,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,8,0.0,0.0,True
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS,ORIGINAL,9,0.0,0.0,True
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,0,1000.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,1,48710000000000.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,2,10.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,3,10000000000.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,4,8410000000.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,5,10.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,6,10000000000.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,7,100000000.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,8,1110.0,NA,False
BINARY_REPRESENTATION_OF_NEXT_NUMBER,ORIGINAL,9,1000000000.0,NA,False
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,0,9.0,9.0,True
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,1,9.0,9.0,True
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,2,33.0,33.0,True
DISTRIBUTING_M_ITEMS_CIRCLE_SIZE_N_STARTING_K_TH_POSITION,ORIGINAL,3,2.0,2.0,True
