class,Mutation-based Translation Score,Computational Accuracy
SEQUENCES_GIVEN_LENGTH_EVERY_ELEMENT_EQUAL_TWICE_PREVIOUS_1,1.0,0.0
SMALLEST_DIFFERENCE_PAIR_VALUES_TWO_UNSORTED_ARRAYS,1.0,0.0
SORT_ARRAY_APPLYING_GIVEN_EQUATION,1.0,0.0
SORT_ARRAY_CONTAIN_1_N_VALUES,1.0,0.0
SORT_ARRAY_TWO_HALVES_SORTED,1.0,0.0
SPACE_OPTIMIZED_SOLUTION_LCS,1.0,0.2
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,1.0,0.0
SQUARE_PYRAMIDAL_NUMBER_SUM_SQUARES,1.0,0.0
STEINS_ALGORITHM_FOR_FINDING_GCD,1.0,0.0
SUM_BINOMIAL_COEFFICIENTS,1.0,0.0
SUM_FAI_AJ_PAIRS_ARRAY_N_INTEGERS,1.0,0.0
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,1.0,0.0
SUM_MATRIX_ELEMENT_ABSOLUTE_DIFFERENCE_ROW_COLUMN_NUMBERS,1.0,0.0
SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN,1.0,0.0
SUM_OF_ALL_ELEMENTS_UP_TO_NTH_ROW_IN_A_PASCALS_TRIANGLE_1,1.0,0.0
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,1.0,0.0
SUM_SERIES_12_32_52_2N_12,1.0,0.0
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,1.0,0.0
SWAP_TWO_NUMBERS_WITHOUT_USING_TEMPORARY_VARIABLE,1.0,0.0
TILING_WITH_DOMINOES,1.0,0.0
TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS,1.0,0.0
